"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
-61,8751;-13,5081;20,8828;-2,7946;-10,5135;3,3689;-12,9000;5,2276
-64,6562;-14,3843;20,2123;-0,5601;-8,4507;2,3701;-12,9160;4,5395
-67,0925;-15,0724;19,3521;1,6745;-6,3880;0,9602;-12,7440;3,8514
-69,1973;-15,7606;18,5095;3,9090;-4,3252;-0,0555;-12,5720;3,1800
-70,7722;-16,4645;17,4947;6,1436;-2,2790;-1,2599;-12,4161;2,3031
-72,0158;-16,9964;16,2728;8,3952;-0,0278;-2,4643;-12,0721;1,6317
-72,7300;-17,3404;15,2753;10,4579;2,0182;-3,6687;-11,7442;0,7547
-73,1000;-17,7002;13,8988;12,5207;4,2696;-4,8896;-11,2283;0,0666
-73,1390;-17,8722;12,5222;14,6008;6,3324;-5,9055;-10,7123;-0,6049
-72,6491;-18,0600;11,1629;16,4918;8,3952;-7,1262;-10,2126;-1,4817
-71,8154;-18,0600;9,6142;18,4003;10,4751;-8,1585;-9,5247;-2,1533
-70,6512;-18,0757;8,0655;20,1371;12,3488;-9,2071;-8,8368;-3,0300
-68,9584;-17,9195;6,5338;21,6844;14,4463;-10,0673;-8,1652;-3,7181
-66,9222;-17,5755;4,7960;23,2495;16,1654;-10,9275;-7,2891;-4,4063
-64,5428;-17,2316;3,2641;24,6250;17,8846;-11,7877;-6,6176;-4,8811
-61,8201;-16,9192;1,5433;26,0363;19,6213;-12,6639;-5,7578;-8,2464
-58,7405;-16,2155;-0,1942;27,0680;21,1863;-13,3521;-4,9144;-6,2987
-55,5172;-15,7155;-1,7264;28,1177;22,5618;-14,0562;-3,8663;-7,0031
-51,7514;-15,0435;-3,4637;28,9956;23,9551;-14,5722;-3,0230;-7,5192
-47,8285;-14,1837;-4,9960;29,7016;25,1945;-15,1042;-1,9748;-8,0515
-43,5627;-13,3399;-6,7332;30,2357;26,0363;-15,4482;-1,1316;-8,3793
-38,9250;-12,3082;-8,2819;30,5978;27,1040;-15,8081;-0,0999;-8,9116
-34,3171;-11,2765;-9,8467;30,7880;27,7918;-15,9801;0,9485;-9,2556
-29,3515;-10,2448;-11,2233;30,7880;28,5158;-16,1680;1,7916;-9,6158
-24,1992;-9,2293;-12,5998;30,8244;28,8598;-16,1680;2,8400;-9,7717
-19,0469;-8,0420;-13,9924;30,4985;29,2219;-16,1838;3,6830;-10,1319
-13,9106;-6,6502;-15,1968;29,9824;29,4120;-16,0118;4,7316;-10,3200
-8,5868;-5,4466;-16,4170;29,5026;29,4301;-15,8557;5,5914;-10,3200
-3,2631;-4,2595;-17,4651;28,6424;29,2762;-15,5117;6,4511;-10,3200
