"Position (mm) Run #1"
-34,6018
-34,2579
-33,9438
-33,2559
-32,5981
-31,5815
-30,3779
-29,2047
-27,6727
-25,9535
-24,2498
-22,3744
-20,3272
-18,0927
-15,8740
-13,4677
-11,0614
-8,6712
-6,0768
-3,6870
-1,1089
1,4692
4,0472
6,6253
9,2205
11,6095
14,2223
16,4394
18,8809
20,9436
23,0242
24,9509
26,4803
28,2355
29,6291
30,8327
32,0727
32,9325
33,8290
34,3633
34,7256
34,9160
34,9344
34,7808
34,4551
33,9757
33,1338
32,1015
31,1056
29,7291
28,3706
26,8399
25,1370
23,2618
21,1965
19,1489
16,9114
14,6914
12,2817
9,8720
7,4794
4,8805
2,4876
-0,0943
-2,6928
-5,1025
-7,5122
-9,9380
-12,1755
-14,4129
-16,6662
-18,7314
-20,8123
-22,7209
-24,4572
-26,0212
-27,3978
-28,8047
-29,8522
-30,7124
-31,6028
-32,1189
-32,6650
-32,8520
-32,8520
-32,8820
-32,5531
-32,0522
-31,3794
-30,5347
-29,5182
-28,3299
-26,9697
-25,4224
-23,9060
-22,0150
-20,1241
-18,2488
-16,2019
-13,9674
-11,7328
-9,5144
-7,1081
-4,7018
-2,2955
0,0942
2,6890
5,0953
7,5017
9,9080
12,3315
14,5835
16,6462
18,7090
20,8071
22,5262
24,2454
26,0004
27,3759
28,7875
29,8192
30,8690
31,7653
32,2812
32,8337
33,0240
33,0423
32,8886
32,5446
32,2370
31,5671
30,7251
29,6928
28,6786
27,5102
25,9615
24,4128
22,8997
21,0067
19,1313
17,0660
15,0182
12,7808
10,5433
8,3058
6,0854
3,6757
1,2493
-0,9716
-3,3978
-5,6352
-7,8564
-10,2984
-12,3636
-14,4289
-16,4941
-18,5908
-20,3117
-22,0481
-23,6122
-25,0042
-26,2086
-27,4283
-28,4759
-29,3665
-29,8825
-30,4137
-30,7729
-30,9600
-30,9751
-30,8333
-30,3174
-29,8166
-29,1440
-28,3146
-27,1111
-25,9228
-24,5474
-23,2029
-21,4838
-19,7646
-18,0612
-16,1861
-14,1233
-12,0766
-9,8420
-7,6075
-5,3730
-3,1549
-0,7320
1,4859
3,9090
6,1436
8,3781
10,6298
12,6926
14,7727
16,6637
18,5722
20,2914
22,0282
23,5934
24,9688
26,3622
27,6019
28,4616
29,3395
30,0637
30,4077
30,7698
30,9600
30,9782
30,8244
30,4985
30,0006
29,3306
28,4704
27,6462
26,4418
25,2732
23,7245
22,1936
20,4727
18,7695
16,8764
15,0008
12,9356
10,8703
8,8051
6,7568
4,5194
2,2819
0,0445
-2,1930
-4,4469
-6,4958
-8,7495
-10,8147
-12,8959
-14,7890
-16,6979
-18,4187
-20,1552
-21,7195
-23,1115
-24,3160
-25,5358
-26,5834
-27,4589
-28,1470
-28,8656
-29,2248
-29,4120
-29,4272
-29,2704
-28,9416
-28,4409
-27,7683
-26,9085
-26,0794
-24,8758
-23,6877
-22,3123
-20,9524
-19,4208
-17,7174
-15,8264
-13,9355
-12,0606
-10,0139
-7,7631
-5,7167
-3,4657
-1,4195
0,8150
3,0664
5,1291
7,1919
9,2547
11,3346
13,2256
15,1165
17,0250
18,7617
20,3090
21,8741
23,2673
24,4709
25,7103
26,5701
27,4479
28,1538
28,6878
29,0318
29,4120
29,4120
29,4482
29,1042
28,7783
28,2983
27,4381
26,5959
25,5815
24,3771
23,1905
21,8317
20,3006
18,5798
16,8589
15,1555
13,2624
11,3866
9,3214
7,2561
5,2078
2,9536
0,8883
-1,1603
-3,4143
-5,4795
-7,5610
-9,4379
-11,5192
-13,4282
-15,1491
-16,8858
-18,4344
-19,9988
-21,3909
-22,5954
-23,8152
-24,8630
-25,7385
-26,4420
-26,9581
-27,5047
-27,6920
-27,6920
-27,7073
-27,5658
-27,0499
-26,5493
-25,8768
-25,0170
-24,1881
-22,9845
-21,7965
-20,4210
-19,0770
-17,3578
-15,6387
-13,9355
-12,0445
-10,1536
-8,2626
-6,3880
-4,3252
-2,2459
-0,3716
1,6912
3,7540
5,8167
7,8965
9,7875
11,6784
13,5867
15,3059
17,0425
18,5898
20,1547
21,5479
22,7515
23,9729
25,0225
25,9002
26,6061
27,1220
27,6559
28,0360
28,0360
28,0541
27,9001
27,5741
27,0580
26,5779
25,7177
24,8754
23,8609
22,6565
21,4698
20,0932
18,7519
17,0135
15,4997
13,6066
11,7136
9,8377
7,7554
5,8793
3,8141
1,7488
-0,3164
-2,3982
-4,2748
-6,3564
-8,2656
-9,9703
-11,8794
-13,6003
-15,3371
-16,9016
-18,2781
-19,6547
-21,0624
-22,0947
-23,1425
-24,0182
-24,7063
-25,4252
-25,7693
-26,1287
-26,3160
-26,3313
-26,1747
-25,8307
-25,5021
-25,0170
-24,1418
-23,4849
-22,4687
-21,2651
-20,0615
-18,8893
-17,3420
-15,8106
-14,0755
-12,5602
-10,6532
-8,9502
-7,0593
-5,1683
-3,2938
-1,2145
0,6598
2,7393
4,6303
6,5213
8,4122
10,3203
12,0395
13,7586
15,4952
17,0600
18,4354
19,8285
21,0321
22,2534
23,3029
24,1627
25,0583
25,5742
26,1081
26,4700
26,6420
26,8500
26,6780
26,5419
26,0259
25,5277
24,8575
23,9972
23,1548
22,1403
20,9359
19,7667
18,2005
16,8414
15,3102
13,5893
11,8857
9,9755
8,2717
6,3787
4,4856
2,5926
0,6995
-1,1935
-3,0866
-4,9960
-6,7005
-8,6098
-10,3307
-12,0676
-13,6163
-15,1650
-16,7453
-17,9340
-19,3419
-20,3742
-21,4221
-22,2979
-23,0015
-23,5176
-24,0491
-24,4086
-24,5806
-24,7834
-24,6114
-24,4549
-24,0954
-23,9698
-23,2974
-22,4376
-21,5934
-20,5461
-19,7333
-18,3579
-16,9824
-15,6228
-14,0755
-12,5282
-10,9970
-9,2779
-7,5587
-5,8559
-3,9650
-2,0740
-0,1830
1,7079
3,6157
5,3179
7,2259
8,9450
10,6813
12,2287
13,7760
15,3407
16,7161
18,1091
19,3303
20,3443
21,5834
22,4609
23,1488
23,8545
24,3883
24,7501
24,9221
25,1299
24,9579
24,8038
24,4597
24,1514
23,4455
22,9650
22,1225
21,0902
20,0579
19,0608
17,6843
16,3077
14,9660
13,2278
11,6791
10,1476
8,4267
6,7228
4,8129
3,0920
1,3879
-0,5218
-2,2261
-4,1356
-5,8564
-7,5773
-9,3143
-10,8630
-12,4278
-13,8043
-15,1809
-16,5891
-17,6056
-18,8100
-20,0614
-20,7496
-21,4377
-22,1414
-22,6574
-23,2045
