"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
-75,3921;-16,9964;19,1800;6,3324;-1,4030;-2,6364;-11,8841;0,4107;-13,1921;-34,2579;-13,9195;9,7012;11,1112
-76,9664;-17,3404;18,3374;8,3781;0,6431;-3,8408;-11,5353;-0,2775;-15,6177;-33,9438;-12,2004;10,7157;11,8335
-78,2090;-17,7002;17,3226;10,6298;2,8777;-5,0616;-13,4480;-0,9490;-17,8709;-33,2709;-10,4974;11,9365;12,1602
-78,9353;-17,8722;16,1182;12,7099;5,1291;-6,0939;-13,1520;-0,9623;-19,9362;-32,4262;-8,5902;12,9682;12,6934
-79,1454;-18,0600;14,9312;14,6008;7,1919;-7,1262;-12,4844;-11,7168;-22,0170;-31,4096;-6,8874;14,0172;13,0547
-78,8268;-18,0600;13,5546;16,4918;9,2547;-8,1585;-9,3689;-9,9768;-23,9100;-30,2060;-4,9964;14,8944;13,2267
-78,1772;-18,0757;12,1781;18,4003;11,3346;-9,1909;-8,2819;-3,8902;-25,8338;-29,0328;-3,1219;15,5823;13,3987
-76,9992;-17,9195;10,8187;20,1194;13,2083;-10,2393;-10,0083;-4,5783;-27,3825;-27,5007;-1,0426;16,2701;13,5880
-75,4905;-17,5755;9,2700;21,8563;15,3059;-11,1156;-9,7290;-5,2665;-28,9464;-25,7970;0,8484;16,9755;13,5880
-73,4407;-17,2316;7,7213;23,4214;17,0250;-11,7877;-8,7783;-5,9709;-30,3532;-23,9060;2,7226;17,4914;13,6053
-71,2585;-16,9034;6,1896;24,8148;18,7441;-12,6639;-6,6917;-6,4707;-31,3855;-22,0306;4,8191;18,0424;13,4333
-68,3502;-16,4033;4,4518;26,0363;20,4809;-13,3681;-6,9778;-7,1751;-32,4329;-19,9835;6,5213;18,1969;13,2786
-65,2837;-15,7313;2,9200;27,0680;22,0460;-13,8841;-5,9625;-7,7075;-33,3230;-17,7489;8,4293;18,5760;12,9346
-61,8742;-14,8556;1,1991;28,1177;23,4392;-14,4002;-4,7261;-8,0353;-33,8391;-15,5302;10,1313;18,5760;12,5906
-58,1218;-14,1837;-0,5384;28,9956;24,6428;-14,9322;-3,8498;-8,5676;-34,3851;-13,1239;12,0567;18,5760;12,2638
-54,0267;-13,3399;-2,0705;29,7016;25,8643;-15,2762;-3,2444;-8,9116;-34,5720;-10,7337;13,6040;18,5936;11,7477
-49,5746;-12,3082;-3,8079;30,2357;26,9140;-15,6361;-1,5811;-9,2556;-34,5869;-8,1394;15,1513;18,4391;11,2488
-44,9656;-11,2765;-5,3402;30,5978;27,7918;-15,8081;-1,2869;-9,5997;-34,4299;-5,7494;16,7161;18,0951;10,5607
